@RELATION 'repositories'
@ATTRIBUTE 'Language'   {JavaScript, Java, Ruby, PHP, Python, CSS, C++, C#, C, HTML}
@ATTRIBUTE 'Commits'   NUMERIC
@ATTRIBUTE 'Branches'   NUMERIC
@ATTRIBUTE 'Watchers'   NUMERIC
@ATTRIBUTE 'Forks'   NUMERIC
@ATTRIBUTE 'Issues'   NUMERIC
@ATTRIBUTE 'Releases'   NUMERIC
@ATTRIBUTE 'Readme'   {Yes, No}
@ATTRIBUTE '<100Contributors'   {Yes, No}
@ATTRIBUTE 'LOC'   NUMERIC
@ATTRIBUTE 'CommitInTheLastMonth'   {Yes, No}
@ATTRIBUTE 'Pull Requests'   NUMERIC
@ATTRIBUTE 'stars'   {<500, 500-2000, 2000-5000, 5000-10000, >10000}

@data
C,1298,15,97,268,72,25,Yes,Yes,?,Yes,7,<500 %https://github.com/edenhill/librdkafka
C,24,1,14,53,4,0,Yes,Yes,?,No,0,<500 %https://github.com/karthick18/inception
C,81,1,107,132,0,0,Yes,Yes,?,No,0,<500 %https://github.com/x0r1/jellyfish
C,378,127,397,25,15,5,Yes,Yes,?,No,5,500-2000 %https://github.com/pedrovgs/DraggablePanel
C,104,2,132,179,52,7,Yes,Yes,?,No,0,500-2000 %https://github.com/google/ios-webkit-debug-proxy
C,677,22,427,1209,58,8,Yes,Yes,?,No,5,2000-5000 %https://github.com/square/dagger
C,11304,7,426,2355,387,0,Yes,No,?,Yes,9,2000-5000 %https://github.com/codecombat/codecombat
C,266,7,600,3400,66,8,Yes,Yes,?,No,43,5000-10000 %https://github.com/scottjehl/Respond
C,3,3,314,81415,657,0,Yes,Yes,?,No,5000,5000-10000 %https://github.com/octocat/Spoon-Knife
C,431,3,461,1785,22,42,Yes,Yes,?,No,5,5000-10000 %https://github.com/desandro/masonry
C,4017,2,3621,12679,7,0,Yes,No,?,Yes,13,>10000 %https://github.com/vhf/free-programming-books
C,3521,35,2355,13228,135,192,Yes,No,?,Yes,66,>10000 %https://github.com/mbostock/d3
JavaScript,451,3,37,37,17,22,Yes,Yes,?,No,1,<500 %https://github.com/conveyal/transitive.js
JavaScript,122,2,20,54,12,2,Yes,Yes,?,No,3,<500 %https://github.com/ded/morpheus
JavaScript,95,3,52,99,6,13,Yes,Yes,?,No,2,500-2000 %https://github.com/stutrek/scrollMonitor
JavaScript,155,3,114,257,14,0,Yes,Yes,?,No,1,500-2000 %https://github.com/MicrosoftEdge/static-code-scan
JavaScript,175,9,44,50,15,0,Yes,Yes,?,No,0,500-2000 %https://github.com/begriffs/css-ratiocinator
JavaScript,2565,9,325,1748,252,13,Yes,No,?,No,26,2000-5000 %https://github.com/novus/nvd3
